"Var1","Freq"
"flaky tests",9
"flakiness",8
"flaky test",6
"false alarms",4
"flaky",3
"Flakiness",2
"non-deterministic execution",2
"order-dependent test",2
"outcome is non-deterministic",2
"test dependence",2
"test dependencies",2
"test flakiness",2
"a test that exhibits both pass and failure outcomes when no changes are introduced in the code base",1
"break test independencies",1
"can intermittently pass or fail even for the same code version",1
"dependent test",1
"different result",1
"different test outcome",1
"fail non-deterministically",1
"fail or pass for the same version of a certain software code",1
"failure in unpredictable ways",1
"false alarm",1
"False alarm",1
"false alarm tests",1
"False Positive",1
"false positive alarm",1
"false positives",1
"false positives or false negatives",1
"false test alarms",1
"flaky builds",1
"Flaky Test",1
"Flaky tests",1
"Flaky Tests",1
"flaky-test failure",1
"flaky|flakey|flakiness|intermit|fragile|brittle",1
"hidden dependencies between tests",1
"inconsistency in tests",1
"inconsistent results generated by executing the test suite in the same or different orders",1
"inconsistent test result",1
"instability",1
"intermittent test",1
"Intermittently failing",1
"intermittently failing tests",1
"non-determinism in the test",1
"non-deterministic behavior",1
"non-deterministic behaviour",1
"non-deterministic tests",1
"non-deterministically",1
"non-deterministically pass or fail when run on the same version of code",1
"nondeterministic behavior",1
"nondeterministic code",1
"on the same or changed code",1
"order-dependent",1
"outcome is not deterministic",1
"outcomes are non-deterministic",1
"outcomes are unpredictable",1
"test case dependencies",1
"Test Dependence",1
"test dependency",1
"test execution order",1
"test passes sometimes and fails at other times",1
"test that passes sometimes and fails sometimes",1
"tests behaving randomly in different runs on the same Code Under Test",1
"tests that can pass or fail nondeterministically on the same code",1
"tests that should fail but pass",1
"tests that should pass but fail",1
"that fails randomly",1
"unpredictable results",1
"unstable",1
"Unstable and unpredictable tests",1
