"","x"
"1","Proceedings of the First ACM International Conference on Bioinformatics and Computational Biology"
"2","IEEE/ACM Transactions on Computational Biology and Bioinformatics"
"3","Proceedings of the 7th International Symposium on Quality Electronic Design"
"4","Proceedings of the 2012 27th Annual IEEE/ACM Symposium on Logic in Computer Science"
"5","Proceedings of the 2015 30th Annual ACM/IEEE Symposium on Logic in Computer Science (LICS)"
"6","Proceedings of the 51st Annual IEEE/ACM International Symposium on Microarchitecture"
"7","Proceedings of the 22nd Annual International Conference on Design of Communication: The Engineering of Quality Documentation"
"8","Proceedings of the 1st International Conference on Theory and Practice of Electronic Governance"
"9","Proceedings of the 2007 Conference on Diversity in Computing"
"10","Proceedings of the First ACM International Conference on Bioinformatics and Computational Biology"
"11","Proceedings of the 2nd ACM Conference on Bioinformatics, Computational Biology and Biomedicine"
"12","Proceedings of the ACM Conference on Bioinformatics, Computational Biology and Biomedicine"
"13","Proceedings of the 13th ACM/IEEE-CS Joint Conference on Digital Libraries"
"14","Proceedings of the 7th Workshop in Primary and Secondary Computing Education"
"15","Proceedings of the International Conference on Bioinformatics, Computational Biology and Biomedical Informatics"
"16","Proceedings of the 8th Workshop in Primary and Secondary Computing Education"
"17","Proceedings of the 4th Joint Symposium on Computational Aesthetics, Non-Photorealistic Animation and Rendering, and Sketch-Based Interfaces and Modeling"
"18","Proceedings of the 47th ACM Technical Symposium on Computing Science Education"
"19","Proceedings of the 11th Workshop in Primary and Secondary Computing Education"
"20","Proceedings of the 49th ACM Technical Symposium on Computer Science Education"
"21","Proceedings of the 2017 4th International Conference on Biomedical and Bioinformatics Engineering"
"22","Proceedings of the 2018 International Conference on E-Business, Information Management and Computer Science"
"23","Proceedings of the 50th ACM Technical Symposium on Computer Science Education"
"24","Proceedings of the 21st Annual Conference on Information Technology Education"
"25","Proceedings of the Twenty-Second Australasian Computing Education Conference"
"26","Proceedings of the 2020 10th International Conference on Bioscience, Biochemistry and Bioinformatics"
"27","Proceedings of the 2020 8th International Conference on Information and Education Technology"
"28","Proceedings of the 33rd SIGCSE Technical Symposium on Computer Science Education"
"29","Proceedings of the Workshop on Comparing Corpora - Volume 9"
"30","Proceedings of the 34th Conference on Winter Simulation: Exploring New Frontiers"
"31","Proceedings of the 36th Conference on Winter Simulation"
"32","Proceedings of the 37th Conference on Winter Simulation"
"33","Proceedings of the 37th SIGCSE Technical Symposium on Computer Science Education"
"34","Proceedings of the 43rd Annual Southeast Regional Conference - Volume 2"
"35","Proceedings of the 2007 Conference on Diversity in Computing"
"36","Proceedings of the 1st ACM Workshop on Workshop on AISec"
"37","Proceedings of the First ACM International Conference on Bioinformatics and Computational Biology"
"38","Proceedings of the 8th ACM Conference on Creativity and Cognition"
"39","Proceedings of the 2nd ACM Conference on Bioinformatics, Computational Biology and Biomedicine"
"40","Proceedings of the 2nd ACM Conference on Bioinformatics, Computational Biology and Biomedicine"
"41","Proceedings of the 13th ACM/IEEE-CS Joint Conference on Digital Libraries"
"42","Proceedings of the 7th Workshop in Primary and Secondary Computing Education"
"43","Proceedings of the 4th Joint Symposium on Computational Aesthetics, Non-Photorealistic Animation and Rendering, and Sketch-Based Interfaces and Modeling"
"44","ICCPS '14: ACM/IEEE 5th International Conference on Cyber-Physical Systems (with CPS Week 2014)"
"45","Proceedings of the 7th International Symposium on Quality Electronic Design"
"46","Proceedings of the 3rd International Conference on Computer Graphics and Interactive Techniques in Australasia and South East Asia"
"47","Proceedings of the ACM Symposium on Virtual Reality Software and Technology"
"48","Proceedings of the 37th SIGCSE Technical Symposium on Computer Science Education"
"49","Proceedings of the 12th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education"
"50","Proceedings of the 1st International Conference on Theory and Practice of Electronic Governance"
"51","Proceedings of the 2008 ACM SIGMIS CPR Conference on Computer Personnel Doctoral Consortium and Research"
"52","Proceedings of the 2006 ACM CoNEXT Conference"
"53","Proceedings of the 3rd ACM International Workshop on Human-Centered Computing"
"54","Proceedings of the 11th Annual Conference on Genetic and Evolutionary Computation"
"55","Proceedings of the 11th Annual Conference Companion on Genetic and Evolutionary Computation Conference: Late Breaking Papers"
"56","Proceedings of the 10th International Conference NZ Chapter of the ACM's Special Interest Group on Human-Computer Interaction"
"57","Proceedings of the 3rd International Conference on Principles, Systems and Applications of IP Telecommunications"
"58","Proceedings of the 46th Annual Design Automation Conference"
"59","Proceedings of the 4th Workshop on Embedded Systems Security"
"60","Proceedings of the 16th ACM Conference on Computer and Communications Security"
"61","Proceedings of the 2nd International Conference on Interaction Sciences: Information Technology, Culture and Human"
"62","Proceedings of the First ACM International Conference on Bioinformatics and Computational Biology"
"63","Proceedings of the 4th ACM International Workshop on Context-Awareness for Self-Managing Systems"
"64","CASCON First Decade High Impact Papers"
"65","Proceedings of the 13th Annual Conference on Genetic and Evolutionary Computation"
"66","Proceedings of the 20th ACM International Conference on Information and Knowledge Management"
"67","Proceedings of the 4th International Conference on Security of Information and Networks"
"68","Proceedings of the 6th Workshop on Embedded Systems Education"
"69","Proceedings of the Middleware 2011 Industry Track Workshop"
"70","Proceedings of the 4th International Symposium on Applied Sciences in Biomedical and Communication Technologies"
"71","Proceedings of the 2nd ACM Conference on Bioinformatics, Computational Biology and Biomedicine"
"72","Proceedings of the 17th ACM Annual Conference on Innovation and Technology in Computer Science Education"
"73","Proceedings of the 14th Annual Conference on Genetic and Evolutionary Computation"
"74","Proceedings of the 15th Annual Conference on Genetic and Evolutionary Computation"
"75","Proceedings of the 15th Annual Conference Companion on Genetic and Evolutionary Computation"
