"","Title","Author","Year","URL","Booktitle"
"1","Modeling Heterogeneous Points of View with Modhel'x","Boulanger, Fr\'{e}d\'{e}ric; Jacquet, Christophe; Hardebolle, C\'{e}cile; Rouis, Elyes","2009","https://doi.org/10.1007/978-3-642-12261-3_29","Proceedings of the 2009 International Conference on Models in Software Engineering"
"2","Modeling Multiple Distributions of Student Performances to Improve Predictive Accuracy","Gong, Yue; Beck, Joseph E.; Ruiz, Carolina","2012","https://doi.org/10.1007/978-3-642-31454-4_9","Proceedings of the 20th International Conference on User Modeling, Adaptation, and Personalization"
"3","Empirical Evaluation on FBD Model-Based Test Coverage Criteria Using Mutation Analysis","Shin, Donghwan; Jee, Eunkyoung; Bae, Doo-Hwan","2012","https://doi.org/10.1007/978-3-642-33666-9_30","Proceedings of the 15th International Conference on Model Driven Engineering Languages and Systems"
"4","Semantic Integrity Support in SQL:1999 and Commercial (Object-)Relational Database Management Systems","T\""{u}rker, Can; Gertz, Michael","2001","https://doi.org/10.1007/s007780100050",""
"5","Prototypical Implementation of Location-Aware Services Based on a Middleware Architecture for Super-Distributed RFID Tag Infrastructures","Bohn, J\""{u}rgen","2008","https://doi.org/10.1007/s00779-006-0107-2",""
"6","Exploring the Impact of Trust Information Visualization on Mobile Application Usage","Yan, Zheng; Liu, Conghui; Niemi, Valtteri; Yu, Guoliang","2013","https://doi.org/10.1007/s00779-013-0636-4",""
"7","Sensor-Based Bayesian Detection of Anomalous Living Patterns in a Home Setting","Ord\'{o}\ {n}ez, Fco Javier; Toledo, Paula; Sanchis, Araceli","2015","https://doi.org/10.1007/s00779-014-0820-1",""
"8","Automated Test Order Generation for Software Component Integration Testing","Hewett, Rattikorn; Kijsanayothin, Phongphun","2009","https://doi.org/10.1109/ASE.2009.84","Proceedings of the 2009 IEEE/ACM International Conference on Automated Software Engineering"
"9","Model Checking Distributed Systems by Combining Caching and Process Checkpointing","Leungwattanakit, Watcharin; Artho, Cyrille; Hagiya, Masami; Tanabe, Yoshinori; Yamamoto, Mitsuharu","2011","https://doi.org/10.1109/ASE.2011.6100043","Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering"
"10","Scaling up Automated Test Generation: Automatically Generating Maintainable Regression Unit Tests for Programs","Robinson, Brian; Ernst, Michael D.; Perkins, Jeff H.; Augustine, Vinay; Li, Nuo","2011","https://doi.org/10.1109/ASE.2011.6100059","Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering"
"11","Towards an Approach and Framework for Test-Execution Plan Derivation","Chakraborty, Soham Sundar; Shah, Vipul","2011","https://doi.org/10.1109/ASE.2011.6100106","Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering"
"12","Prioritizing Tests for Fault Localization through Ambiguity Group Reduction","Gonzalez-Sanchez, Alberto; Abreu, Rui; Gross, Hans-Gerhard; van Gemund, Arjan J. C.","2011","https://doi.org/10.1109/ASE.2011.6100153","Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering"
"13","Proving MCAPI Executions Are Correct Using SMT","Huang, Yu; Mercer, Eric; McCarthy, Jay","2013","https://doi.org/10.1109/ASE.2013.6693063","Proceedings of the 28th IEEE/ACM International Conference on Automated Software Engineering"
"14","Testing Properties of Dataflow Program Operators","Xu, Zhihong; Hirzel, Martin; Rothermel, Gregg; Wu, Kun-Lung","2013","https://doi.org/10.1109/ASE.2013.6693071","Proceedings of the 28th IEEE/ACM International Conference on Automated Software Engineering"
"15","Bita: Coverage-Guided, Automatic Testing of Actor Programs","Tasharofi, Samira; Pradel, Michael; Lin, Yu; Johnson, Ralph","2013","https://doi.org/10.1109/ASE.2013.6693072","Proceedings of the 28th IEEE/ACM International Conference on Automated Software Engineering"
"16","Automated Unit Testing of Large Industrial Embedded Software Using Concolic Testing","Kim, Yunho; Kim, Youil; Kim, Taeksu; Lee, Gunwoo; Jang, Yoonkyu; Kim, Moonzoo","2013","https://doi.org/10.1109/ASE.2013.6693109","Proceedings of the 28th IEEE/ACM International Conference on Automated Software Engineering"
"17","Environment Rematching: Toward Dependability Improvement for Self-Adaptive Applications","Xu, Chang; Yang, Wenhua; Ma, Xiaoxing; Cao, Chun","2013","https://doi.org/10.1109/ASE.2013.6693118","Proceedings of the 28th IEEE/ACM International Conference on Automated Software Engineering"
"18","GRT: An Automated Test Generator Using Orchestrated Program Analysis","Ma, Lei; Artho, Cyrille; Zhang, Cheng; Sato, Hiroyuki; Gmeiner, Johannes; Ramler, Rudolf","2015","https://doi.org/10.1109/ASE.2015.102","Proceedings of the 30th IEEE/ACM International Conference on Automated Software Engineering"
"19","Test Analysis: Searching for Faults in Tests","Waterloo, Matias; Person, Suzette; Elbaum, Sebastian","2015","https://doi.org/10.1109/ASE.2015.37","Proceedings of the 30th IEEE/ACM International Conference on Automated Software Engineering"
